KernelSize,Sigma,SP_Noise,Gamma,Step_s,Step_t,Final_Objective,MSE,PSNR
15,5,0.15,0.5,0.9,0.9,NaN,NaN,NaN
15,15,0.01,0.005,0.05,0.05,110.579,0.0113787,19.4391
15,15,0.01,0.005,0.05,0.3,104.872,0.00789673,21.0255
15,15,0.01,0.005,0.05,0.9,104.375,0.00725718,21.3923
15,15,0.01,0.005,0.3,0.05,110.435,0.0113154,19.4633
15,15,0.01,0.005,0.3,0.3,104.707,0.00787169,21.0393
15,15,0.01,0.005,0.3,0.9,NaN,NaN,NaN
15,15,0.01,0.005,0.9,0.05,110.422,0.0113073,19.4664
15,15,0.01,0.005,0.9,0.3,NaN,NaN,NaN
15,15,0.01,0.005,0.9,0.9,NaN,NaN,NaN
15,15,0.01,0.05,0.05,0.05,153.37,0.0100677,19.9707
15,15,0.01,0.05,0.05,0.3,145.988,0.0092463,20.3403
15,15,0.01,0.05,0.05,0.9,140.185,0.0091021,20.4086
15,15,0.01,0.05,0.3,0.05,139.699,0.00998661,20.0058
15,15,0.01,0.05,0.3,0.3,136.671,0.00918803,20.3678
15,15,0.01,0.05,0.3,0.9,NaN,NaN,NaN
15,15,0.01,0.05,0.9,0.05,137.919,0.00997279,20.0118
15,15,0.01,0.05,0.9,0.3,NaN,NaN,NaN
15,15,0.01,0.05,0.9,0.9,NaN,NaN,NaN
15,15,0.01,0.5,0.05,0.05,992.218,0.0139379,18.558
15,15,0.01,0.5,0.05,0.3,468.719,0.0137646,18.6123
15,15,0.01,0.5,0.05,0.9,409.525,0.0138503,18.5854
15,15,0.01,0.5,0.3,0.05,472.259,0.0147195,18.3211
15,15,0.01,0.5,0.3,0.3,360.626,0.0141275,18.4993
15,15,0.01,0.5,0.3,0.9,NaN,NaN,NaN
15,15,0.01,0.5,0.9,0.05,381.701,0.0141045,18.5064
15,15,0.01,0.5,0.9,0.3,NaN,NaN,NaN
15,15,0.01,0.5,0.9,0.9,NaN,NaN,NaN
15,15,0.05,0.005,0.05,0.05,486.093,0.0187278,17.2751
15,15,0.05,0.005,0.05,0.3,464.503,0.0101742,19.925
15,15,0.05,0.005,0.05,0.9,463.294,0.0110083,19.5828
15,15,0.05,0.005,0.3,0.05,485.834,0.018671,17.2883
15,15,0.05,0.005,0.3,0.3,464.335,0.0102322,19.9003
15,15,0.05,0.005,0.3,0.9,NaN,NaN,NaN
15,15,0.05,0.005,0.9,0.05,485.811,0.0186629,17.2902
15,15,0.05,0.005,0.9,0.3,NaN,NaN,NaN
15,15,0.05,0.005,0.9,0.9,NaN,NaN,NaN
15,15,0.05,0.05,0.05,0.05,532.695,0.0105087,19.7845
15,15,0.05,0.05,0.05,0.3,516.866,0.00970828,20.1286
15,15,0.05,0.05,0.05,0.9,503.956,0.00955406,20.1981
15,15,0.05,0.05,0.3,0.05,503.535,0.0103041,19.8699
15,15,0.05,0.05,0.3,0.3,499.024,0.00954142,20.2039
15,15,0.05,0.05,0.3,0.9,NaN,NaN,NaN
15,15,0.05,0.05,0.9,0.05,500.605,0.0102944,19.874
15,15,0.05,0.05,0.9,0.3,NaN,NaN,NaN
15,15,0.05,0.05,0.9,0.9,NaN,NaN,NaN
15,15,0.05,0.5,0.05,0.05,2364.3,0.015727,18.0335
15,15,0.05,0.5,0.05,0.3,945.092,0.0142222,18.4703
15,15,0.05,0.5,0.05,0.9,782.744,0.0141763,18.4844
15,15,0.05,0.5,0.3,0.05,938.34,0.0154294,18.1165
15,15,0.05,0.5,0.3,0.3,719.424,0.0146867,18.3308
15,15,0.05,0.5,0.3,0.9,NaN,NaN,NaN
15,15,0.05,0.5,0.9,0.05,754.042,0.014669,18.336
15,15,0.05,0.5,0.9,0.3,NaN,NaN,NaN
15,15,0.05,0.5,0.9,0.9,NaN,NaN,NaN
15,15,0.15,0.005,0.05,0.05,1450.15,0.0392923,14.0569
15,15,0.15,0.005,0.05,0.3,1387.09,0.0206585,16.849
15,15,0.15,0.005,0.05,0.9,1381.75,0.0305368,15.1518
15,15,0.15,0.005,0.3,0.05,1449.29,0.0392955,14.0566
15,15,0.15,0.005,0.3,0.3,1386.84,0.0214643,16.6828
15,15,0.15,0.005,0.3,0.9,NaN,NaN,NaN
15,15,0.15,0.005,0.9,0.05,1449.2,0.0392915,14.057
15,15,0.15,0.005,0.9,0.3,NaN,NaN,NaN
15,15,0.15,0.005,0.9,0.9,NaN,NaN,NaN
15,15,0.15,0.05,0.05,0.05,1480.86,0.0125713,19.0062
15,15,0.15,0.05,0.05,0.3,1457.72,0.0116966,19.3194
15,15,0.15,0.05,0.05,0.9,1438.9,0.0114261,19.421
15,15,0.15,0.05,0.3,0.05,1438.11,0.0121017,19.1715
15,15,0.15,0.05,0.3,0.3,1431.57,0.0114184,19.424
15,15,0.15,0.05,0.3,0.9,NaN,NaN,NaN
15,15,0.15,0.05,0.9,0.05,1434.27,0.0120765,19.1806
15,15,0.15,0.05,0.9,0.3,NaN,NaN,NaN
15,15,0.15,0.05,0.9,0.9,NaN,NaN,NaN
15,15,0.15,0.5,0.05,0.05,4658.24,0.0204582,16.8913
15,15,0.15,0.5,0.05,0.3,2051.91,0.0159515,17.972
15,15,0.15,0.5,0.05,0.9,1729.1,0.0155723,18.0765
15,15,0.15,0.5,0.3,0.05,2016.85,0.0177486,17.5083
15,15,0.15,0.5,0.3,0.3,1638.86,0.0165531,17.8112
15,15,0.15,0.5,0.3,0.9,NaN,NaN,NaN
15,15,0.15,0.5,0.9,0.05,1695.81,0.0166213,17.7934
15,15,0.15,0.5,0.9,0.3,NaN,NaN,NaN
15,15,0.15,0.5,0.9,0.9,NaN,NaN,NaN
45,1,0.01,0.005,0.05,0.05,87.6989,0.00500702,23.0042
45,1,0.01,0.005,0.05,0.3,86.3305,0.00546702,22.6225
45,1,0.01,0.005,0.05,0.9,86.2569,0.005628,22.4965
45,1,0.01,0.005,0.3,0.05,87.5595,0.00499538,23.0143
45,1,0.01,0.005,0.3,0.3,86.3001,0.00545683,22.6306
45,1,0.01,0.005,0.3,0.9,NaN,NaN,NaN
45,1,0.01,0.005,0.9,0.05,87.5501,0.00499268,23.0167
45,1,0.01,0.005,0.9,0.3,NaN,NaN,NaN
45,1,0.01,0.005,0.9,0.9,NaN,NaN,NaN
45,1,0.01,0.05,0.05,0.05,176.344,0.00336921,24.7247
45,1,0.01,0.05,0.05,0.3,166.805,0.00332589,24.7809
45,1,0.01,0.05,0.05,0.9,165.739,0.00332376,24.7837
45,1,0.01,0.05,0.3,0.05,166.542,0.00340284,24.6816
45,1,0.01,0.05,0.3,0.3,164.957,0.0033348,24.7693
45,1,0.01,0.05,0.3,0.9,NaN,NaN,NaN
45,1,0.01,0.05,0.9,0.05,166.025,0.00340532,24.6784
45,1,0.01,0.05,0.9,0.3,NaN,NaN,NaN
45,1,0.01,0.05,0.9,0.9,NaN,NaN,NaN
45,1,0.01,0.5,0.05,0.05,1084.48,0.00940054,20.2685
45,1,0.01,0.5,0.05,0.3,576.89,0.00887622,20.5177
45,1,0.01,0.5,0.05,0.9,562.155,0.00885428,20.5285
45,1,0.01,0.5,0.3,0.05,532.273,0.00898744,20.4636
45,1,0.01,0.5,0.3,0.3,502.725,0.00890335,20.5045
45,1,0.01,0.5,0.3,0.9,NaN,NaN,NaN
45,1,0.01,0.5,0.9,0.05,490.695,0.00879778,20.5563
45,1,0.01,0.5,0.9,0.3,NaN,NaN,NaN
45,1,0.01,0.5,0.9,0.9,NaN,NaN,NaN
45,1,0.05,0.005,0.05,0.05,392.232,0.018299,17.3757
45,1,0.05,0.005,0.05,0.3,385.809,0.0228089,16.419
45,1,0.05,0.005,0.05,0.9,385.374,0.0245523,16.0991
45,1,0.05,0.005,0.3,0.05,391.816,0.0183771,17.3572
45,1,0.05,0.005,0.3,0.3,385.727,0.0228678,16.4078
45,1,0.05,0.005,0.3,0.9,NaN,NaN,NaN
45,1,0.05,0.005,0.9,0.05,391.785,0.0183809,17.3563
45,1,0.05,0.005,0.9,0.3,NaN,NaN,NaN
45,1,0.05,0.005,0.9,0.9,NaN,NaN,NaN
45,1,0.05,0.05,0.05,0.05,554.782,0.00470269,23.2765
45,1,0.05,0.05,0.05,0.3,537.281,0.0044356,23.5305
45,1,0.05,0.05,0.05,0.9,535.319,0.00442984,23.5361
45,1,0.05,0.05,0.3,0.05,539.084,0.00488937,23.1075
45,1,0.05,0.05,0.3,0.3,534.425,0.00442843,23.5375
45,1,0.05,0.05,0.3,0.9,NaN,NaN,NaN
45,1,0.05,0.05,0.9,0.05,538.297,0.00492211,23.0785
45,1,0.05,0.05,0.9,0.3,NaN,NaN,NaN
45,1,0.05,0.05,0.9,0.9,NaN,NaN,NaN
45,1,0.05,0.5,0.05,0.05,2371.24,0.0107854,19.6716
45,1,0.05,0.5,0.05,0.3,970.8,0.00943921,20.2506
45,1,0.05,0.5,0.05,0.9,935.339,0.00948955,20.2275
45,1,0.05,0.5,0.3,0.05,929.498,0.00970562,20.1298
45,1,0.05,0.5,0.3,0.3,866.766,0.00960461,20.1752
45,1,0.05,0.5,0.3,0.9,NaN,NaN,NaN
45,1,0.05,0.5,0.9,0.05,855.444,0.0095183,20.2144
45,1,0.05,0.5,0.9,0.3,NaN,NaN,NaN
45,1,0.05,0.5,0.9,0.9,NaN,NaN,NaN
45,1,0.15,0.005,0.05,0.05,1143.64,0.0520929,12.8322
45,1,0.15,0.005,0.05,0.3,1117.7,0.0693061,11.5923
45,1,0.15,0.005,0.05,0.9,1115.86,0.0765862,11.1585
45,1,0.15,0.005,0.3,0.05,1142.12,0.0524857,12.7996
45,1,0.15,0.005,0.3,0.3,1117.44,0.069772,11.5632
45,1,0.15,0.005,0.3,0.9,NaN,NaN,NaN
45,1,0.15,0.005,0.9,0.05,1141.97,0.0525218,12.7966
45,1,0.15,0.005,0.9,0.3,NaN,NaN,NaN
45,1,0.15,0.005,0.9,0.9,NaN,NaN,NaN
45,1,0.15,0.05,0.05,0.05,1468.73,0.0103086,19.868
45,1,0.15,0.05,0.05,0.3,1446.57,0.00921423,20.3554
45,1,0.15,0.05,0.05,0.9,1444.83,0.00921623,20.3545
45,1,0.15,0.05,0.3,0.05,1453.73,0.0110367,19.5716
45,1,0.15,0.05,0.3,0.3,1444.12,0.0092024,20.361
45,1,0.15,0.05,0.3,0.9,NaN,NaN,NaN
45,1,0.15,0.05,0.9,0.05,1453.26,0.0111535,19.5259
45,1,0.15,0.05,0.9,0.3,NaN,NaN,NaN
45,1,0.15,0.05,0.9,0.9,NaN,NaN,NaN
45,1,0.15,0.5,0.05,0.05,4536.08,0.0148412,18.2853
45,1,0.15,0.5,0.05,0.3,1936.95,0.0116166,19.3492
45,1,0.15,0.5,0.05,0.9,1865.8,0.0116169,19.3491
45,1,0.15,0.5,0.3,0.05,1895.62,0.0121384,19.1584
45,1,0.15,0.5,0.3,0.3,1783.52,0.0120243,19.1994
45,1,0.15,0.5,0.3,0.9,NaN,NaN,NaN
45,1,0.15,0.5,0.9,0.05,1773.54,0.0119941,19.2103
45,1,0.15,0.5,0.9,0.3,NaN,NaN,NaN
45,1,0.15,0.5,0.9,0.9,NaN,NaN,NaN
45,5,0.01,0.005,0.05,0.05,100.372,0.0114015,19.4304
45,5,0.01,0.005,0.05,0.3,95.7776,0.00861284,20.6485
45,5,0.01,0.005,0.05,0.9,95.3297,0.00806095,20.9361
45,5,0.01,0.005,0.3,0.05,100.287,0.0113544,19.4483
45,5,0.01,0.005,0.3,0.3,95.6413,0.00858622,20.662
45,5,0.01,0.005,0.3,0.9,NaN,NaN,NaN
45,5,0.01,0.005,0.9,0.05,100.279,0.0113481,19.4508
45,5,0.01,0.005,0.9,0.3,NaN,NaN,NaN
45,5,0.01,0.005,0.9,0.9,NaN,NaN,NaN
45,5,0.01,0.05,0.05,0.05,142.01,0.0105704,19.7591
45,5,0.01,0.05,0.05,0.3,134.956,0.00963523,20.1614
45,5,0.01,0.05,0.05,0.9,129.437,0.0094845,20.2299
45,5,0.01,0.05,0.3,0.05,129.11,0.0103435,19.8533
45,5,0.01,0.05,0.3,0.3,126.278,0.0096287,20.1643
45,5,0.01,0.05,0.3,0.9,NaN,NaN,NaN
45,5,0.01,0.05,0.9,0.05,127.396,0.0103206,19.8629
45,5,0.01,0.05,0.9,0.3,NaN,NaN,NaN
45,5,0.01,0.05,0.9,0.9,NaN,NaN,NaN
45,5,0.01,0.5,0.05,0.05,946.594,0.0144272,18.4082
45,5,0.01,0.5,0.05,0.3,440.473,0.0142598,18.4589
45,5,0.01,0.5,0.05,0.9,386.844,0.0144215,18.4099
45,5,0.01,0.5,0.3,0.05,450.444,0.0155378,18.0861
45,5,0.01,0.5,0.3,0.3,344.052,0.0145933,18.3585
45,5,0.01,0.5,0.3,0.9,NaN,NaN,NaN
45,5,0.01,0.5,0.9,0.05,364.731,0.014463,18.3974
45,5,0.01,0.5,0.9,0.3,NaN,NaN,NaN
45,5,0.01,0.5,0.9,0.9,NaN,NaN,NaN
45,5,0.05,0.005,0.05,0.05,490.613,0.0192471,17.1563
45,5,0.05,0.005,0.05,0.3,471.607,0.0102836,19.8786
45,5,0.05,0.005,0.05,0.9,470.519,0.00990026,20.0435
45,5,0.05,0.005,0.3,0.05,490.505,0.0192351,17.1591
45,5,0.05,0.005,0.3,0.3,471.48,0.0103004,19.8714
45,5,0.05,0.005,0.3,0.9,NaN,NaN,NaN
45,5,0.05,0.005,0.9,0.05,490.5,0.0192324,17.1597
45,5,0.05,0.005,0.9,0.3,NaN,NaN,NaN
45,5,0.05,0.005,0.9,0.9,NaN,NaN,NaN
45,5,0.05,0.05,0.05,0.05,537.395,0.0111305,19.5349
45,5,0.05,0.05,0.05,0.3,519.718,0.0102139,19.9081
45,5,0.05,0.05,0.05,0.9,506.883,0.0100251,19.9891
45,5,0.05,0.05,0.3,0.05,506.906,0.0107687,19.6783
45,5,0.05,0.05,0.3,0.3,502.561,0.0101056,19.9544
45,5,0.05,0.05,0.3,0.9,NaN,NaN,NaN
45,5,0.05,0.05,0.9,0.05,503.898,0.0107488,19.6864
45,5,0.05,0.05,0.9,0.3,NaN,NaN,NaN
45,5,0.05,0.05,0.9,0.9,NaN,NaN,NaN
45,5,0.05,0.5,0.05,0.05,2374.78,0.0162648,17.8875
45,5,0.05,0.5,0.05,0.3,932.051,0.0148105,18.2943
45,5,0.05,0.5,0.05,0.9,770.413,0.0148267,18.2896
45,5,0.05,0.5,0.3,0.05,933.101,0.0162751,17.8848
45,5,0.05,0.5,0.3,0.3,715.034,0.0150981,18.2108
45,5,0.05,0.5,0.3,0.9,NaN,NaN,NaN
45,5,0.05,0.5,0.9,0.05,752.141,0.0150109,18.2359
45,5,0.05,0.5,0.9,0.3,NaN,NaN,NaN
45,5,0.05,0.5,0.9,0.9,NaN,NaN,NaN
45,5,0.15,0.005,0.05,0.05,1448.25,0.0402828,13.9488
45,5,0.15,0.005,0.05,0.3,1395.07,0.0170821,17.6746
45,5,0.15,0.005,0.05,0.9,1392.35,0.017196,17.6457
45,5,0.15,0.005,0.3,0.05,1448.04,0.0403523,13.9413
45,5,0.15,0.005,0.3,0.3,1394.99,0.0172716,17.6267
45,5,0.15,0.005,0.3,0.9,NaN,NaN,NaN
45,5,0.15,0.005,0.9,0.05,1448.02,0.0403575,13.9408
45,5,0.15,0.005,0.9,0.3,NaN,NaN,NaN
45,5,0.15,0.005,0.9,0.9,NaN,NaN,NaN
45,5,0.15,0.05,0.05,0.05,1478.95,0.0131994,18.7945
45,5,0.15,0.05,0.05,0.3,1454.68,0.0124021,19.0651
45,5,0.15,0.05,0.05,0.9,1436.35,0.0121975,19.1373
45,5,0.15,0.05,0.3,0.05,1435.94,0.0127458,18.9463
45,5,0.15,0.05,0.3,0.3,1429.38,0.0121721,19.1464
45,5,0.15,0.05,0.3,0.9,NaN,NaN,NaN
45,5,0.15,0.05,0.9,0.05,1432.29,0.0127155,18.9567
45,5,0.15,0.05,0.9,0.3,NaN,NaN,NaN
45,5,0.15,0.05,0.9,0.9,NaN,NaN,NaN
45,5,0.15,0.5,0.05,0.05,4653.34,0.0210947,16.7583
45,5,0.15,0.5,0.05,0.3,2038.94,0.0166042,17.7978
45,5,0.15,0.5,0.05,0.9,1708.89,0.0162264,17.8978
45,5,0.15,0.5,0.3,0.05,2014.22,0.0188409,17.249
45,5,0.15,0.5,0.3,0.3,1632.1,0.0172075,17.6428
45,5,0.15,0.5,0.3,0.9,NaN,NaN,NaN
45,5,0.15,0.5,0.9,0.05,1693.86,0.0171027,17.6693
45,5,0.15,0.5,0.9,0.3,NaN,NaN,NaN
45,5,0.15,0.5,0.9,0.9,NaN,NaN,NaN
45,15,0.01,0.005,0.05,0.05,93.6288,0.0191715,17.1734
45,15,0.01,0.005,0.05,0.3,88.9874,0.0160262,17.9517
45,15,0.01,0.005,0.05,0.9,88.627,0.0147753,18.3047
45,15,0.01,0.005,0.3,0.05,93.5805,0.0191253,17.1839
45,15,0.01,0.005,0.3,0.3,88.8707,0.0159774,17.9649
45,15,0.01,0.005,0.3,0.9,NaN,NaN,NaN
45,15,0.01,0.005,0.9,0.05,93.5766,0.0191194,17.1853
45,15,0.01,0.005,0.9,0.3,NaN,NaN,NaN
45,15,0.01,0.005,0.9,0.9,NaN,NaN,NaN
45,15,0.01,0.05,0.05,0.05,120.814,0.0177582,17.506
45,15,0.01,0.05,0.05,0.3,115.15,0.0162512,17.8912
45,15,0.01,0.05,0.05,0.9,113.39,0.0154326,18.1156
45,15,0.01,0.05,0.3,0.05,110.299,0.0174872,17.5728
45,15,0.01,0.05,0.3,0.3,108.304,0.0158474,18.0004
45,15,0.01,0.05,0.3,0.9,NaN,NaN,NaN
45,15,0.01,0.05,0.9,0.05,109.047,0.0174737,17.5762
45,15,0.01,0.05,0.9,0.3,NaN,NaN,NaN
45,15,0.01,0.05,0.9,0.9,NaN,NaN,NaN
45,15,0.01,0.5,0.05,0.05,871.917,0.0184852,17.3317
45,15,0.01,0.5,0.05,0.3,353.439,0.0191222,17.1846
45,15,0.01,0.5,0.05,0.9,312.369,0.0193879,17.1247
45,15,0.01,0.5,0.3,0.05,335.78,0.0205317,16.8758
45,15,0.01,0.5,0.3,0.3,295.466,0.0198113,17.0309
45,15,0.01,0.5,0.3,0.9,NaN,NaN,NaN
45,15,0.01,0.5,0.9,0.05,301.275,0.0195484,17.0889
45,15,0.01,0.5,0.9,0.3,NaN,NaN,NaN
45,15,0.01,0.5,0.9,0.9,NaN,NaN,NaN
45,15,0.05,0.005,0.05,0.05,497.933,0.0267261,15.7306
45,15,0.05,0.005,0.05,0.3,477.05,0.0163876,17.8548
45,15,0.05,0.005,0.05,0.9,476.124,0.0152148,18.1773
45,15,0.05,0.005,0.3,0.05,497.828,0.0266734,15.7392
45,15,0.05,0.005,0.3,0.3,476.854,0.0163525,17.8642
45,15,0.05,0.005,0.3,0.9,NaN,NaN,NaN
45,15,0.05,0.005,0.9,0.05,497.817,0.0266659,15.7404
45,15,0.05,0.005,0.9,0.3,NaN,NaN,NaN
45,15,0.05,0.005,0.9,0.9,NaN,NaN,NaN
45,15,0.05,0.05,0.05,0.05,531.363,0.0181187,17.4187
45,15,0.05,0.05,0.05,0.3,513.197,0.0166154,17.7949
45,15,0.05,0.05,0.05,0.9,502.898,0.0158511,17.9994
45,15,0.05,0.05,0.3,0.05,499.107,0.0177021,17.5198
45,15,0.05,0.05,0.3,0.3,495.784,0.0161303,17.9236
45,15,0.05,0.05,0.3,0.9,NaN,NaN,NaN
45,15,0.05,0.05,0.9,0.05,496.708,0.0176819,17.5247
45,15,0.05,0.05,0.9,0.3,NaN,NaN,NaN
45,15,0.05,0.05,0.9,0.9,NaN,NaN,NaN
45,15,0.05,0.5,0.05,0.05,2400.9,0.0201884,16.949
45,15,0.05,0.5,0.05,0.3,879.867,0.0197936,17.0348
45,15,0.05,0.5,0.05,0.9,716.725,0.0196791,17.06
45,15,0.05,0.5,0.3,0.05,856.924,0.0212003,16.7366
45,15,0.05,0.5,0.3,0.3,682.992,0.0203287,16.9189
45,15,0.05,0.5,0.3,0.9,NaN,NaN,NaN
45,15,0.05,0.5,0.9,0.05,704.703,0.0200344,16.9822
45,15,0.05,0.5,0.9,0.3,NaN,NaN,NaN
45,15,0.05,0.5,0.9,0.9,NaN,NaN,NaN
45,15,0.15,0.005,0.05,0.05,1408.5,0.0451551,13.4529
45,15,0.15,0.005,0.05,0.3,1353.66,0.0188124,17.2556
45,15,0.15,0.005,0.05,0.9,1351.33,0.0177623,17.505
45,15,0.15,0.005,0.3,0.05,1408.37,0.0451177,13.4565
45,15,0.15,0.005,0.3,0.3,1353.35,0.0187929,17.2601
45,15,0.15,0.005,0.3,0.9,NaN,NaN,NaN
45,15,0.15,0.005,0.9,0.05,1408.35,0.04511,13.4573
45,15,0.15,0.005,0.9,0.3,NaN,NaN,NaN
45,15,0.15,0.005,0.9,0.9,NaN,NaN,NaN
45,15,0.15,0.05,0.05,0.05,1425.75,0.0198319,17.0264
45,15,0.15,0.05,0.05,0.3,1398.12,0.0186513,17.2929
45,15,0.15,0.05,0.05,0.9,1379.63,0.0177089,17.5181
45,15,0.15,0.05,0.3,0.05,1374.69,0.0193545,17.1322
45,15,0.15,0.05,0.3,0.3,1369.63,0.0176067,17.5432
45,15,0.15,0.05,0.3,0.9,NaN,NaN,NaN
45,15,0.15,0.05,0.9,0.05,1370.59,0.0193002,17.1444
45,15,0.15,0.05,0.9,0.3,NaN,NaN,NaN
45,15,0.15,0.05,0.9,0.9,NaN,NaN,NaN
45,15,0.15,0.5,0.05,0.05,4591.13,0.0251165,16.0004
45,15,0.15,0.5,0.05,0.3,1938.47,0.021388,16.6983
45,15,0.15,0.5,0.05,0.9,1614.75,0.0209549,16.7871
45,15,0.15,0.5,0.3,0.05,1896.41,0.0231152,16.361
45,15,0.15,0.5,0.3,0.3,1548.11,0.0224533,16.4872
45,15,0.15,0.5,0.3,0.9,NaN,NaN,NaN
45,15,0.15,0.5,0.9,0.05,1591.98,0.022363,16.5047
45,15,0.15,0.5,0.9,0.3,NaN,NaN,NaN
45,15,0.15,0.5,0.9,0.9,NaN,NaN,NaN
