KernelSize,Sigma,SP_Noise,Gamma,Step_s,Step_t,Final_Objective,MSE,PSNR
5,1,0.15,0.5,0.9,0.9,NaN,NaN,NaN
5,5,0.01,0.005,0.05,0.05,103.104,0.00570949,22.434
5,5,0.01,0.005,0.05,0.3,96.8866,0.00452634,23.4425
5,5,0.01,0.005,0.05,0.9,96.6526,0.00486803,23.1265
5,5,0.01,0.005,0.3,0.05,102.848,0.0056557,22.4751
5,5,0.01,0.005,0.3,0.3,96.8068,0.00452021,23.4484
5,5,0.01,0.005,0.3,0.9,NaN,NaN,NaN
5,5,0.01,0.005,0.9,0.05,102.828,0.0056481,22.481
5,5,0.01,0.005,0.9,0.3,NaN,NaN,NaN
5,5,0.01,0.005,0.9,0.9,NaN,NaN,NaN
5,5,0.01,0.05,0.05,0.05,172.269,0.00454767,23.4221
5,5,0.01,0.05,0.05,0.3,160.22,0.0044156,23.5501
5,5,0.01,0.05,0.05,0.9,157.018,0.00442164,23.5442
5,5,0.01,0.05,0.3,0.05,157.784,0.00453523,23.434
5,5,0.01,0.05,0.3,0.3,156.152,0.00442518,23.5407
5,5,0.01,0.05,0.3,0.9,NaN,NaN,NaN
5,5,0.01,0.05,0.9,0.05,156.718,0.0045334,23.4358
5,5,0.01,0.05,0.9,0.3,NaN,NaN,NaN
5,5,0.01,0.05,0.9,0.9,NaN,NaN,NaN
5,5,0.01,0.5,0.05,0.05,1099.58,0.0102876,19.8769
5,5,0.01,0.5,0.05,0.3,564.65,0.00975145,20.1093
5,5,0.01,0.5,0.05,0.9,526.004,0.00969438,20.1348
5,5,0.01,0.5,0.3,0.05,530.127,0.0098369,20.0714
5,5,0.01,0.5,0.3,0.3,467.58,0.00973118,20.1183
5,5,0.01,0.5,0.3,0.9,NaN,NaN,NaN
5,5,0.01,0.5,0.9,0.05,458.192,0.00962109,20.1678
5,5,0.01,0.5,0.9,0.3,NaN,NaN,NaN
5,5,0.01,0.5,0.9,0.9,NaN,NaN,NaN
5,5,0.05,0.005,0.05,0.05,466.566,0.0148885,18.2715
5,5,0.05,0.005,0.05,0.3,434.225,0.0179641,17.4559
5,5,0.05,0.005,0.05,0.9,432.177,0.0252492,15.9775
5,5,0.05,0.005,0.3,0.05,465.216,0.0148631,18.2789
5,5,0.05,0.005,0.3,0.3,433.976,0.0182735,17.3818
5,5,0.05,0.005,0.3,0.9,NaN,NaN,NaN
5,5,0.05,0.005,0.9,0.05,465.084,0.0148539,18.2816
5,5,0.05,0.005,0.9,0.3,NaN,NaN,NaN
5,5,0.05,0.005,0.9,0.9,NaN,NaN,NaN
5,5,0.05,0.05,0.05,0.05,561.588,0.0053769,22.6947
5,5,0.05,0.05,0.05,0.3,539.376,0.00524657,22.8012
5,5,0.05,0.05,0.05,0.9,533.29,0.00524127,22.8056
5,5,0.05,0.05,0.3,0.05,534.874,0.00532756,22.7347
5,5,0.05,0.05,0.3,0.3,532.192,0.0052384,22.808
5,5,0.05,0.05,0.3,0.9,NaN,NaN,NaN
5,5,0.05,0.05,0.9,0.05,533.275,0.00532736,22.7349
5,5,0.05,0.05,0.9,0.3,NaN,NaN,NaN
5,5,0.05,0.05,0.9,0.9,NaN,NaN,NaN
5,5,0.05,0.5,0.05,0.05,2442.1,0.0118442,19.265
5,5,0.05,0.5,0.05,0.3,996.916,0.0103237,19.8617
5,5,0.05,0.5,0.05,0.9,900.559,0.0101489,19.9358
5,5,0.05,0.5,0.3,0.05,966.503,0.0105079,19.7848
5,5,0.05,0.5,0.3,0.3,834.697,0.010385,19.8359
5,5,0.05,0.5,0.3,0.9,NaN,NaN,NaN
5,5,0.05,0.5,0.9,0.05,828.149,0.0102792,19.8804
5,5,0.05,0.5,0.9,0.3,NaN,NaN,NaN
5,5,0.05,0.5,0.9,0.9,NaN,NaN,NaN
5,5,0.15,0.005,0.05,0.05,1345.26,0.0395023,14.0338
5,5,0.15,0.005,0.05,0.3,1235.63,0.0643306,11.9158
5,5,0.15,0.005,0.05,0.9,1227.51,0.0892729,10.4928
5,5,0.15,0.005,0.3,0.05,1339.45,0.0398187,13.9991
5,5,0.15,0.005,0.3,0.3,1234.6,0.0661268,11.7962
5,5,0.15,0.005,0.3,0.9,NaN,NaN,NaN
5,5,0.15,0.005,0.9,0.05,1338.8,0.0398468,13.9961
5,5,0.15,0.005,0.9,0.3,NaN,NaN,NaN
5,5,0.15,0.005,0.9,0.9,NaN,NaN,NaN
5,5,0.15,0.05,0.05,0.05,1490.43,0.00849734,20.7072
5,5,0.15,0.05,0.05,0.3,1462.53,0.00826297,20.8286
5,5,0.15,0.05,0.05,0.9,1457.08,0.00826584,20.8271
5,5,0.15,0.05,0.3,0.05,1460.49,0.00848342,20.7143
5,5,0.15,0.05,0.3,0.3,1456.03,0.00824496,20.8381
5,5,0.15,0.05,0.3,0.9,NaN,NaN,NaN
5,5,0.15,0.05,0.9,0.05,1458.83,0.00849195,20.7099
5,5,0.15,0.05,0.9,0.3,NaN,NaN,NaN
5,5,0.15,0.05,0.9,0.9,NaN,NaN,NaN
5,5,0.15,0.5,0.05,0.05,4697.74,0.0162044,17.9037
5,5,0.15,0.5,0.05,0.3,2005.28,0.0123485,19.0839
5,5,0.15,0.5,0.05,0.9,1822.88,0.0121708,19.1468
5,5,0.15,0.5,0.3,0.05,1978.48,0.0128609,18.9073
5,5,0.15,0.5,0.3,0.3,1745.75,0.0126639,18.9743
5,5,0.15,0.5,0.3,0.9,NaN,NaN,NaN
5,5,0.15,0.5,0.9,0.05,1745.12,0.0126144,18.9913
5,5,0.15,0.5,0.9,0.3,NaN,NaN,NaN
5,5,0.15,0.5,0.9,0.9,NaN,NaN,NaN
5,15,0.01,0.005,0.05,0.05,107.716,0.00578099,22.38
5,15,0.01,0.005,0.05,0.3,100.627,0.00474314,23.2393
5,15,0.01,0.005,0.05,0.9,100.365,0.00523867,22.8078
5,15,0.01,0.005,0.3,0.05,107.406,0.00571505,22.4298
5,15,0.01,0.005,0.3,0.3,100.546,0.00473188,23.2497
5,15,0.01,0.005,0.3,0.9,NaN,NaN,NaN
5,15,0.01,0.005,0.9,0.05,107.381,0.00570584,22.4368
5,15,0.01,0.005,0.9,0.3,NaN,NaN,NaN
5,15,0.01,0.005,0.9,0.9,NaN,NaN,NaN
